1,breathe,faith hill,2000,i can feel the magic floating in the air being with you gets me that way i watch the sunlight dance across your face and ive never been this swept awayall my thoughts just seem to settle on the breeze when im lying wrapped up in your arms the whole world just fades away the only thing i hear is the beating of your heartcause i can feel you breathe its washing over me and suddenly im melting into you theres nothing left to prove baby all we need is just to be caught up in the touch slow and steady rush baby isnt that the way that loves suppose to be i can feel you breathe just breathein a way i know my heart is waking up as all the walls come tumbling down closer than ive ever felt before and i know and you know theres no need for words right nowi can feel you breathe washing over me and suddenly im melting into you theres nothing left to prove baby all we need is just to be caught up in the touch slow and steady rush baby isnt that the way that loves suppose to be i can feel you breathe just breathecaught up in the touch slow and steady rush baby isnt that the way that loves suppose to be i can feel you breathe just breathei can feel the magic floating in the air being with you gets me that way,1,1
2,smooth,santana featuring rob thomas,2000,man its a hot one like seven inches from the midday sun well i hear you whispering in the words to melt everyone but you stay so cool my muniequita my spanish harlem mona lisa youre my reason for reason the step in my grooveand if you said this life aint good enough i would give my world to lift you up i could change my life to better suit your mood because youre so smoothand its just like the ocean under the moon oh its the same as the emotion that i get from you you got the kind of lovin that can be so smooth yeah give me your heart make it real or else forget about itbut ill tell you one thing if you would leave it would be a crying shame in every breath and every word i hear your name calling me out out from the barrio you hear my rhythm on your radio you feel the turning of the world so soft and slow its turning you round and roundand if you said this life aint good enough i would give my world to lift you up i could change my life to better suit your mood because youre so smoothand its just like the ocean under the moon oh its the same as the emotion that i get from you you got the kind of lovin that can be so smooth yeah give me your heart make it real or else forget about itand its just like the ocean under the moon oh its the same as the emotion that i get from you you got the kind of lovin that can be so smooth yeah give me your heart make it real or else forget about itor else forget about it or else forget about it lets not forget about it give me your heart make it real lets not forget about it lets not forget about it lets not forget about it lets not forget about it lets not forget about it,1,1
3,maria maria,santana featuring the product gb,2000,ladies and gents turn up your sound systems to the sound of carlos santana in the gmb ghetto blues from the refugee campsoh maria maria she remind me of a west side story growin up in spanish harlem she livin a life just like a movie staroh maria maria she fell in love in east la to the sounds of the guitar yeah yeah played by carlos santanastop the lootin stop the shootin pick pocking on the corner see as the rich is getting richer the poor is getting poorerse mira maria on the corner thinkin of ways to make it better in my mailbox theres an eviction letter somebody just said see you later yeahahora vengo mama chula mama chula ahora vengo mama chula east coast ahora vengo mama chula mama chula ahora vengo mama chulamaria maria west coast she remind me of a west side story growin up in spanish harlem she livin a life just like a movie staroh maria maria she fell in love in east la i said it to the sounds of the guitar yeah yeah played by carlos santanai said a la favella los colores the streets are getting hotter there is no water to putout the fire mi canto la esperanzase mira maria on the corner thinkin of ways to make it better then i looked up in the sky hopin the days of paradiseahora vengo mama chula mama chula ahora vengo mama chula north side ahora vengo mama chula mama chula ahora vengo mama chula south sideahora vengo mama chula mama chula ahora vengo mama chula worldwide ahora vengo mama chula mama chula ahora vengo mama chula open up your eyesmaria you know youre my lover when the wind blows i can feel you through the weather and even when were apart it still feels like were togethermaria oh yeah she remind me of a west side story growin up in spanish harlem she livin a life just like a movie staroh maria maria oh she fell in love in east la to the sounds of the guitar played by carlos santanaput em up yall carlos santana with the refugee camp wyclef jerry wonder mr santana gmb yo carlos man you makin that guitar cry,1,1
4,i wanna know,joe,2000,yeah oh yeah alright oh oh ohits amazing how you knock me off my feet hm every time you come around me i get weak oh yeah nobody ever made me feel this way oh you kiss my lips and then you take my breath away so i want to knowi want to know what turns you on id like to know so i can be all that and more id like to know id like to know what makes you cry so i can be the one who always makes you smilegirl he never understood what you were worth hm no and he never took the time to make it work you deserve more loving girl baby im the kind of man who shows concern yes i do oh anyway that i can please you let me learn so i wanna knowi wanna know what turns you on i wanna know so i can be all that and more id like to id like to know what makes you cry so so i can be the one who always makes you smile make you smile babetell me what i gotta do to please you baby anything you say ill do cause i only want to make you happy from the bottom of my heart its truetell me what i gotta do to please you baby anything you say ill do cause i only want to make you happy from the bottom of my heart its truei wish that i could take a journey through your mind alright and find emotions that you always try to hide babe oh i do believe that theres a love you want to share oh oh ill take good care of you lady have no fear oh so i wanna knowi wanna know what turns you on i wanna know so i can be all that and more and id like to id like to know what makes you cry so i can be the one who always makes you smileuh tell me tell me tell me what i gotta do to please you baby anything you say ill do cause i only want to make you happy from the bottom of my heart its truetell me what i gotta do to please you baby anything you say ill do cause i only want to make you happy from the bottom of my heart its truei wanna know what turns you on id like to know id like to know so i can be all that and more i wanna know id like to know what makes you cry so so i can be the one who always makes you smileid like to know i wanna know i wanna know what turns you on tell me girl,1,1
5,everything you want,vertical horizon,2000,somewhere theres speaking its already coming in oh and its rising at the back of your mind you never could get it unless you were fed it now youre here and you dont know whybut under skinned knees and the skid marks past the places where you used to learn you howl and listen listen and wait for the echoes of angels who wont returnhes everything you want hes everything you need hes everything inside of you that you wish you could be he says all the right things at exactly the right time but he means nothing to you and you dont know whyyoure waiting for someone to put you together youre waiting for someone to push you away theres always another wound to discover theres always something more you wish hed sayhes everything you want hes everything you need hes everything inside of you that you wish you could be he says all the right things at exactly the right time but he means nothing to you and you dont know whybut youll just sit tight and watch it unwind its only what youre asking for and youll be just fine with all of your time its only what youre waiting forout of the island into the highway past the places where you might have turned you never did notice but you still hide away the anger of angels who wont returnhes everything you want hes everything you need hes everything inside of you that you wish you could be he says all the right things at exactly the right time but he means nothing to you and you dont know whyi am everything you want i am everything you need i am everything inside of you that you wish you could be i say all the right things at exactly the right time but i mean nothing to you and i dont know why and i dont know why why why and i dont know,1,0
6,say my name,destinys child,2000,say my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden change say my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden changeany other day i would call and you would say baby hows your day but today it aint the same every other word is uhhuh yeah okay could it be that you are at the crib with another lady if you took it there first of all let me say i am not the one to sit around and be played so prove yourself to me i am the girl that you claim why dont you say the thangs that you said to me yesterdayi know you say that i am assuming things somethings going down thats the way it seems shouldnt be the reason why youre acting strange if nobodys holding you back from me cause i know how you usually do when you say everything to me times two why cant you just tell the truth if somebodys there then tell me whosay my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden change say my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden changewhat is up with this tell the truthwho you with how would you like it if i came over with my clique dont try to change it now see you gotta bounce when two seconds ago you said you just got in the house its hard to believe that you are at home by yourself when i just heard the voice heard the voice of someone else just this question why do you feel you gotta lie gettin caught up in your game when you can not say my namei know you say that i am assuming things somethings going down thats the way it seems shouldnt be the reason why youre acting strange if nobodys holding you back from me cause i know how you usually do when you say everything to me times two why cant you just tell the truth if somebodys there then tell me whosay my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden change say my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden changei know you say that i am assuming things somethings going down thats the way it seems shouldnt be the reason why youre acting strange if nobodys holding you back from me cause i know how you usually do when you say everything to me times two why cant you just tell the truth if somebodys there then tell me whosay my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden change say my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me babybaby say my name say my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby why the sudden change say my name say my name if no one is around you say baby i love you if you aint runnin game say my name say my name you actin kinda shady aint callin me baby baby say my name,1,1
7,i knew i loved you,savage garden,2000,hmm ohh i will come maybe its intuition somethings you just dont question like in your eyes i see my future in an instant and there it goes i think ive found my best friendi know that it might sound more than a little crazy but i believei knew i loved you before i met you i think i dreamed you into life i knew i loved you before i met you i have been waiting all my lifetheres just no rhyme or reason only a sense of completion and in your eyes i see the missing pieces im searching for i think ive found my way homei know that it might sound more than a little crazy but i believei knew i loved you before i met you i think i dreamed you into life i knew i loved you before i met you i have been waiting all my lifeooh hoo ooo hoo hoo ooo ohh a thousand angels dance around you ooh hoo hoo ooo hoo ooo hoo hoo hoo i am complete now that i have found youi knew i loved you before i met you i think i dreamed you into life i knew i loved you before i met you i have been waiting all my lifei knew i loved you before i met you i think i dreamed you into life i knew i loved you before i met you i have been waiting all my lifei knew i loved you before i met you i knew i loved you ooh hoo ooo hoo hoo ooo i knew i loved you before i met you i knew i loved you ooh hoo ooo hoo hoo hoo i knew i loved you before i met you oh oh ohh ohh oh oh oh ay ay yea oh i knew i loved you before i met you i knew i loved you i knew i loved you before i met you,1,1
8,amazed,lonestar,2000,lonestar lyricsamazedevery time our eyes meet this feeling inside me is almost more than i can take baby when you touch me i can feel how much you love me and it just blows me away ive never been this close to anyone or anything i can hear your thoughts i can see your dreamsi dont know how you do what you do im so in love with you it just keeps getting better i wanna spend the rest of my life with you by my side forever and ever every little thing that you do baby im amazed by youthe smell of your skin the taste of your kiss the way you whisper in the dark your hair all around me baby you surround me you touch every place in my heart oh it feels like the first time every time i wanna spend the whole night in your armsi dont know how you do what you do im so in love with you it just keeps getting better i wanna spend the rest of my life with you by my side forever and ever every little thing that you do baby im amazed by youevery little thing that you do im so in love with you it just keeps getting better i wanna spend the rest of my life with you by my side forever and ever every little thing that you do oh yeah every little thing that you do baby im amazed by you,1,1
9,bent,matchbox twenty,2000,if i fall along the way pick me up and dust me off and if i get too tired to make it be my breath so i can walk if i need some other love give me more than i can stand and when my smile gets old and faded wait around ill smile againshouldnt be so complicated just hold me and then just hold me againcan you help me im bent im so scared that ill never get put back togetheryoure breaking me in and this is how we will end with you and me bentif i couldnt sleep could you sleep could you paint me better off could you sympathize with my needs i know you think i need a loti started out clean but im jaded just phoning it in just breaking the skincan you help me im bent im so scared that ill never get put back togetheryoure breaking me in and this is how we will end with you and me bentstart bending me its never enough i feel all your piecesstart bending me keep bending me until im completely broken inshouldnt be so complicated just touch me and then just touch me againcan you help me im bent im so scared that ill never get put back togetheryoure breaking me in and this is how we will end with you and me landingwithout understanding can i go there again can you help me im bent im so scared that ill never get put back togetheryoure breaking me in and this is how we will end with you and me bent,1,1
10,he wasnt man enough,toni braxton,2000,darkchild oh yeah toni braxton oh yeah uh uh darkchild yeah listen girlwho do you think i am dont you know that he was my man but i chose to let him go so why do you act like i still care about himlooking at me like im hurt when im the one who said i didnt want it to work dont you forget i had him firstwhatcha thinking stop blaming me he wasnt man enough for me if you dont know now heres your chance ive already had your mando you wonder just where hes been yeah and id be worried about him now its time you know the truth i think hes half the man for youwhat are you thinking do you know about us back then do you know i dumped your husband girlfriend im not thinking bout himbut you married him do you know i made him leave do you know he begged to stay with me he wasnt man enough for me listen girldidnt he tell you the truth if not then why dont you ask him and maybe you could be more into him instead of worrying bout meand hopefully you wont find all of the reasons why his love led to doubt and why we couldnt work it outwhatcha thinking stop blaming me he wasnt man enough for me if you dont know now heres your chance see ive already had your mando you wonder just where hes been yeah and id be worried about him now its time you know the truth i think hes just the man for youwhat are you thinking do you know about us back then do you know i dumped your husband girlfriend im not thinking bout himbut you married him do you know i made him leave do you know he begged to stay with me he wasnt man enough for meso many reasons why our love is through yeah what makes you think hell be good to you no it makes no sense cause he will never change girl you better recognize the gamewhat are you thinking do you know about us back then do you know i dumped your husband girlfriend im not thinking bout himbut you married him do you know i made him leave do you know he begged to stay with me he wasnt man enough for mewhat are you thinking do you know about us back then do you know i dumped your husband girlfriend im not thinking bout himbut you married him do you know i made him leave do you know he begged to stay with me he wasnt man enough for mewhat are you thinking do you know about us back then do you know i dumped your husband girlfriend im not thinking bout himbut you married him do you know i made him leave do you know he begged to stay with me he wasnt man enough for me,1,1
